admitted_s,arrival_s,backend,batch_size,e2e_ms,error,finished_s,first_token_s,output_tokens,preemptions,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,workload
13114.693786152,13114.693785556,fp16,4,1768.6556039989227,,13116.46244116,13114.915721225,32,0,128,0,1,request-000000,32,49.89419145162937,221.93566899841244,128x32
13114.693853187,13114.693852881,fp16,4,1768.599491999339,,13116.462452373,13114.915725604,32,0,128,0,1,request-000001,32,49.89441190322865,221.87272299925098,128x32
13114.693869997,13114.693869749,fp16,4,1768.5885159989994,,13116.462458265,13114.915726902,32,0,128,0,1,request-000002,32,49.89456009676477,221.85715299929143,128x32
13114.693884349,13114.693884078,fp16,4,1768.579014998977,,13116.462463093,13114.915728196,32,0,128,0,1,request-000003,32,49.89467409676205,221.84411799935333,128x32
13116.565380742,13116.565380217,fp16,4,1820.8177300002717,,13118.386197947,13116.803749228,32,0,128,0,2,request-000000,32,51.04673287097549,238.3690110000316,128x32
13116.565443822,13116.56544351,fp16,4,1820.7652580003924,,13118.386208768,13116.803753985,32,0,128,0,2,request-000001,32,51.0469284839224,238.31047499879787,128x32
13116.565459198,13116.565458935,fp16,4,1820.756209001047,,13118.386215144,13116.803755355,32,0,128,0,2,request-000002,32,51.04708996775791,238.29642000055173,128x32
13116.565472693,13116.565472377,fp16,4,1820.7477710002422,,13118.386220148,13116.803756656,32,0,128,0,2,request-000003,32,51.04720941938379,238.28427899934468,128x32
13118.490172213,13118.490171615,fp16,4,1799.2229249994125,,13120.28939454,13118.711110888,32,0,128,0,3,request-000000,32,50.912375870945155,220.93927300011273,128x32
13118.490241983,13118.490241664,fp16,4,1799.164367999765,,13120.289406032,13118.711115138,32,0,128,0,3,request-000001,32,50.912609483871606,220.87347399974533,128x32
13118.490258655,13118.490258373,fp16,4,1799.1531560001022,,13120.289411529,13118.71111643,32,0,128,0,3,request-000002,32,50.91274512902131,220.85805700044148,128x32
13118.490271636,13118.490271349,fp16,4,1799.145535000207,,13120.289416884,13118.711117735,32,0,128,0,3,request-000003,32,50.91287577417989,220.84638600063045,128x32
13120.393960733,13120.393960196,fp16,4,1779.216755001471,,13122.173176951,13120.614576734,32,0,128,0,4,request-000000,32,50.277426354847606,220.6165380011953,128x32
13120.394035264,13120.394035006,fp16,4,1779.153105999285,,13122.173188112,13120.614581581,32,0,128,0,4,request-000001,32,50.2776300322547,220.54657499938912,128x32
13120.394051801,13120.39405153,fp16,4,1779.1428839991568,,13122.173194414,13120.614583014,32,0,128,0,4,request-000002,32,50.27778709676744,220.53148399936617,128x32
13120.394064708,13120.39406443,fp16,4,1779.1351439991558,,13122.173199574,13120.614584397,32,0,128,0,4,request-000003,32,50.27790893543551,220.51996700065501,128x32
13122.352193976,13122.352193339,fp16,4,1080.0868930000433,,13123.432280232,13122.504974309,19,0,46,0,0,request-000000,19,51.516995722219384,152.78097000009438,right-skewed
13122.505100112,13122.50509915,fp16,4,716.8675720004103,,13123.221966722,13122.766611541,10,0,80,0,0,request-000001,10,50.59502011115708,261.51239099999657,right-skewed
13122.505141173,13122.505140907,fp16,4,665.3302100003202,,13123.170471117,13122.609693766,12,0,17,0,0,request-000002,12,50.97975918182453,104.55285900025046,right-skewed
13122.505155617,13122.505155239,fp16,4,563.0314879999787,,13123.068186727,13122.711083858,8,0,49,0,0,request-000003,8,51.014695571471485,205.9286189996783,right-skewed
13122.505167372,13122.505167067,fp16,4,1487.5830559994938,,13123.992750123,13123.277441846,15,0,61,0,0,request-000004,15,51.09344835714832,772.2747789994173,right-skewed
13122.505179324,13122.505178848,fp16,4,2374.05201600086,,13124.879230864,13123.992543612,18,0,248,0,0,request-000005,18,52.15807364712579,1487.3647639997216,right-skewed
13122.505251015,13122.50525076,fp16,4,2317.159079000703,,13124.822409839,13123.534942732,26,0,81,0,0,request-000006,26,51.49868428001355,1029.6919720003643,right-skewed
13122.557975309,13122.557974357,fp16,4,2042.9993489997287,,13124.600973706,13123.586026884,21,0,36,0,0,request-000007,21,50.74734109994097,1028.0525270009093,right-skewed
13122.55803106,13122.558030666,fp16,4,2904.1137670010357,,13125.462144433,13124.151468424,25,0,45,0,0,request-000008,25,54.61150037505528,1593.437757999709,right-skewed
13122.558047052,13122.558046672,fp16,4,3564.6757859994977,,13126.122722458,13124.822202329,25,0,57,0,0,request-000009,25,54.1883387083241,2264.155656999719,right-skewed
13122.558060245,13122.558059936,fp16,4,4150.439713999731,,13126.70849965,13125.461925638,26,0,169,0,0,request-000010,26,49.86296048002259,2903.865701999166,right-skewed
13122.558130143,13122.558129885,fp16,4,3614.088532000096,,13126.172218417,13125.062868733,22,0,41,0,0,request-000011,22,52.82617542850078,2504.7388480015798,right-skewed
13126.930942621,13126.930941939,fp16,4,1282.5020529999165,,13128.213443992,13127.08933707,19,0,46,0,1,request-000000,19,62.450384555530846,158.3951310003613,right-skewed
13127.08948736,13127.08948624,fp16,4,893.4620670006552,,13127.982948307,13127.534875102,10,0,80,0,1,request-000001,10,49.78591166683246,445.38886199916305,right-skewed
13127.089538203,13127.089537729,fp16,4,841.3353910000296,,13127.93087312,13127.199196616,12,0,17,0,1,request-000002,12,66.51604581814105,109.65888700047799,right-skewed
